"Titel","Abkürzung","Begriff"
"L","Länderbezogene Exportkontrolle","Länderbezogene Beschränkungen schränken den Handel mit bestimmten Ländern und Regionen sowie mit Personen bestimmter Staatsangehörigkeit ein. Dabei wird zwischen umfassenden und gezielten länderbezogenen Beschränkungen unterschieden. Umfassende länderbezogene Embargos betreffen den gesamten Handel mit einzelnen Ländern. Gezielte, listenbasierte Sanktionen beziehen sich dagegen auf bestimmte Länder und können Transaktionen mit bestimmten Personen, die in Verbindung mit einem sanktionierten Land stehen, oder den Handel mit bestimmten Gütern einschränken. Gezielte länderbezogene Sanktionen richten sich im Unterschied zu umfassenden länderbezogenen Sanktionen nicht gegen ganze Länder, sondern ausschließlich gegen Personen (unabhängig von deren Sitz), bestimmte Sektoren oder bestimmte Endverwendungen, etwa wenn diese einen Bezug zu Krisen im jeweiligen Land aufweisen. In diesem Zusammenhang sind die Anwendbarkeit des US-(Re-)Exportkontrollrechts sowie von Primär- und Sekundärsanktionen nach US-Sanktionsregimen zu prüfen."
"L","LSt","Lohnsteuer"
"M","MWStSystRl","Mehrwertsteuersystemrichtline (der Europäischen Union)"
"N","Nichtunionsware","Nichtunionsware (ehemals ""Nichtgemeinschaftsware"") ist jede Ware, die nicht den Status von Unionsware hat und muss grundsätzlich verzollt werden, auch wenn es verschiedene Befreiungen und Vergünstigungen gibt. "
"P","Personenebezogene Exportkontrolle","Personenbezogene Beschränkungen umfassen Verbote, bestimmten natürlichen und juristischen Personen, Organisationen und Gruppierungen – unmittelbar oder mittelbar – Gelder oder wirtschaftliche Ressourcen zur Verfügung zu stellen. Um die Einhaltung dieser Verbote sicherzustellen, müssen alle (potenziellen) Geschäftspartner gegen Sanktionslisten geprüft werden. Potenzielle Geschäftspartner (z. B. Lieferanten, Importeure, Banken, Endkunden) sind vor der Aufnahme einer Geschäftsbeziehung bzw. vor Vertragsabschluss oder – wenn es die Gesetzeslage erfordert – vor der Aufnahme von Vertragsverhandlungen mit den Sanktionslisten abzugleichen."
"P","Präferenzen","Zollbegünstigungen in Form reduzierter Zollsätze bis hin zur Zollfreiheit für präferenzberechtigte Waren, deren Präferenzursprung in begünstigten Gebieten bzw. Ländern liegt."
"P","PVGM","Porsche Veranstaltungs- & Geschenke Management"
"R","RCV","Reverse-Charge-Verfahren (=Umkehr der Steuerschuldnerschaft)"
"S","STKZ","Steuerkennzeichen"
"T","Tarifierung","Einreihung von Waren in den Zolltarif."
"U","Unionsware","Unionsware (ehemals ""Gemeinschaftsware"") bezeichnet einen zollrechtlichen Status, der auf zweierlei Weise erreicht werden kann:

1. wenn es sich um Waren handelt, die unter den Ursprungsvoraussetzungen vollständig im Zollgebiet der Europäischen Union gewonnen oder hergestellt werden;

2. wenn Nichtunionswaren zum zollrechtlich freien Verkehr abgefertigt und überlassen werden."
"U","Ursprungsland","Das Land, in dem ein Produkt seine letzte wesentliche Be- und Verarbeitung erhalten hat."
"U","US-(Re)Exportkontrollrecht","Nationales Exportkontrollrecht mit extraterritorialem Anwendungsgebiet, d.h. in jedem Fall ist das US-(Re)Exportkontrollrecht einzuhalten, wenn positive Kenntnis darüber besteht, dass US- Personen im Sinne der einschlägigen US-Gesetze an einer Transaktion/einem Geschäft beteiligt sind.  Bei (Finanz-)Transaktionen in US-Dollar müssen die Sanktionsgesetze der USA in die Exportkontrollprüfung einbezogen werden."
"U","USt-ID Nummer","Umsatzsteuer-Identifikationsnummer"
"U","USt","Umsatzsteuer"
"U","UStAE","Umsatzsteueranwendungserlass"
"U","UStID","Umsatzsteueridentifikationsnummer"
"U","USt-VA","Umsatzsteuervoranmeldung"
"V","Verbrauchsteuer","Von den Mitgliedstaaten der Europäischen Union (EU) werden auf verschiedene Waren sog. „Verbrauchsteuern“ erhoben. Die wichtigsten heute erhobenen Verbrauchsteuern in Deutschland sind die Steuern auf Bier, Tabakwaren, Strom, Energieerzeugnisse (z. B. Benzin, Diesel, Kraftstoffadditive, Heizöl, Kohle, Erdgas), Kaffee, Spirituosen, Wein und Schaumwein. "
"V","Verwendungsbezogene Exportkontrolle","Die Lieferung von Gütern kann auch dann Verboten oder Genehmigungspflichten unterliegen, wenn die Güter nicht in Güterlisten geführt werden (nicht-gelistete Güter). Bei nicht-gelisteten Gütern liegt der Schwerpunkt der Prüfung auf einer sensiblen (End-)Verwendung. Zu solchen kritischen Verwendungszwecken gehören die Entwicklung, Herstellung, Wartung oder Verbreitung atomarer, biologischer und chemischer Waffen sowie von Trägertechnologie. Darüber hinaus kann auch eine militärische Verwendung sensibel sein und damit in bestimmten Ländern exportkontrollrechtlichen Beschränkungen unterliegen."
"V","Vorübergehende Einfuhr","Anmeldepflichtiges Verfahren; zollfreie Einfuhr möglich innerhalb festgesetzter Frist (regelmäßig 1-2 Jahre) unter Einhaltung von entsprechenden Auflagen und späterer Wiederausfuhr."
"V","VZM","Veranstaltungs- und Zuwendungs-Management"
"V","VSt","Vorsteuer"
"W","Weltzollorganisation","Die Weltzollorganisation (engl. World Customs Organization, WCO) ist eine internationale Organisation, der derzeit 183 nationale Zollverwaltungen angehören. Ziel ist es, Zollformalitäten zwischen internationalen Handelspartnern zu vereinfachen."
"Z","Zoll","Als Zoll bezeichnet man eine Abgabe, die beim körperlichen Verbringen einer Ware über eine Zollgrenze erhoben wird. Sie darf nicht mit der Einfuhrumsatzsteuer (EUSt) verwechselt werden, die der Umsatzsteuer entspricht, die auch im Inland zu jedem Nettopreis hinzugerechnet wird. Zölle dienen jedoch weniger dem Einnahmezweck als vielmehr dem Schutz der inländischen Wirtschaft vor übermäßigem ausländischem Wettbewerb. "
"Z","Zollagent","Ein Zollagent kümmert sich im Auftrag des Versenders, Spediteurs oder Logistikunternehmers um die Verzollung von Waren. Dazu gehören u.a. Ein- und Ausfuhrformalitäten, Ausfuhrabfertigungen, und EDV-unterstützte Anmeldungen via ATLAS."
"Z","Zollplombe","Eine Zollplombe wird an einem Packstück, Container, LKW o.Ä. angebracht, um ein unbefugtes Öffnen zu verhindern bzw. im Nachhinein feststellen zu können. Ein unerlaubtes Entfernen der Plombe ist als Siegelbruch strafbar. Ein beispielhafter Anwendungsfall ist der Transport von unverzollter Ware von einer EU-Außengrenze zum Wirtschaftsbeteiligten. Hierbei wird durch die Zollplombe sichergestellt, dass keine Ware entladen wird, ohne dass eine Verzollung vorgenommen wird. Die Plombe darf dementsprechend nur von einem hierfür vom Hauptzollamt Zugelassenen Empfänger entfernt werden. Zusätzlich muss die Ware vor Entfernen der Plombe beim zuständigen Zollamt angemeldet und eine positive Rückmeldung (""Überlassung"") abgewartet werden."
"Z","Zolltarif","Nomenklatur, in der Waren aufgezählt (meist in Form eines Nummerncodes gelistet) und ihre Zollsätze festgehalten werden, sowie Angaben über die Steuersätze, Einfuhrverbote und - beschränkungen gemacht werden, und Besonderheiten über die Herkunftsländer und Bevorzugungen oder sonstige handelspolitische Maßnahmen festgelegt sind."
"Z","Zollunion","Die EU ist eine Zollunion. Bei  der Zollabwicklung muss grundsätzlich in Unions- und Nichtunionswaren (früher als Gemeinschafts- bzw. Nichtgemeinschaftswaren bezeichnet) unterschieden werden. "
"Z","Zollverfahren","Zollrechtliche Behandlung einer Warensendung in Abhängigkeit vom Verwendungszweck."
"Z","Zollwert","Bemessungsgrundlage bei der Verzollung."
"Z","Zugelassener Ausführer","Ein Zugelassener Ausführer ist ein Ausführer, dem das zuständige Hauptzollamt bewilligt hat, Waren vereinfacht, d.h. ohne Gestellung bei der Ausfuhrzollstelle und ggf. unter Abgabe einer Ausfuhranmeldung, die zunächst nicht alle Angaben enthält, in das Ausfuhrverfahren zu überführen. Fehlende Angaben sind später mit einer ergänzenden Ausfuhranmeldung nachzureichen."
"Z","Zugelassener Wirtschaftsbeteiligter","Der Zugelassene Wirtschaftsbeteiligte (engl. Authorized Economic Operator, AEO) ist ein nach Maßgaben der EU geprüftes und zertifiziertes Unternehmen, das bestimmte zollrechtliche Privilegien genießt. Die Voraussetzungen hinsichtlich Zahlungsfähigkeit, Sicherheitsstandards und der zuverlässigen Einhaltung von Zollvorschriften sind umfangreich und werden regelmäßig von den Zollbehörden überprüft. Die AEO-Bewilligung kann in drei Varianten beantragt und erteilt werden:

1. AEO-Bewilligung ""Zollrechtliche Vereinfachungen"" (AEO C)

2. AEO-Bewilligung ""Sicherheit"" (AEO S)

3. AEO-Bewilligung ""Zollrechtliche Vereinfachungen/Sicherheit"" (AEO C+S)."
